CRN,Subj,Num,Title,Days,Start,End,Start,End,Credits,Instructor,Room,Max Enroll
80064,MATH,11,Elem Statistics,TR,8/13/2010,12/16/2010,11:00 AM,12:50 PM,4,Havens,218,35
80065,MATH,11,Elem Statistics,MW,8/13/2010,12/16/2010,8:00 AM,9:25 AM,4,Marroquin,214,35
80066,MATH,11,Elem Statistics,MW,8/13/2010,12/16/2010,2:00 PM,3:50 PM,4,Sims,212,35
80067,MATH,11,Elem Statistics,M,8/13/2010,12/16/2010,6:00 PM,8:15 PM,4,Willson,214,35
80068,MATH,12,Mathematical Ideas,TR,8/13/2010,12/16/2010,9:30 AM,10:45 AM,3,York,1521,30
80069,MATH,12,Mathematical Ideas,TR,8/13/2010,12/16/2010,11:00 AM,12:15 PM,3,Croft,1521,30
80070,MATH,20,Analyt Geo/Calc I,MTWRF,8/13/2010,12/16/2010,11:00 AM,11:50 AM,5,Dukes,1526,35
80071,MATH,20,Analyt Geo/Calc I,MWF,8/13/2010,12/16/2010,1:15 PM,2:40 PM,5,Elkins,1531,35
80072,MATH,20,Analyt Geo/Calc I,MW,8/13/2010,12/16/2010,6:00 PM,8:15 PM,5,Gibbons,1527,35
80073,MATH,20,Analyt Geo/Calc I,MWF,8/13/2010,12/16/2010,12:00 PM,1:25 PM,5,Greenlee,212,35
80074,MATH,21,Analyt Geo/Calc II,MTWRF,8/13/2010,12/16/2010,11:00 AM,11:50 AM,5,Hawthorne,1527,25
80075,MATH,21,Analyt Geo/Calc II,MWF,8/13/2010,12/16/2010,12:00 PM,1:25 PM,5,Heil,1527,25
80076,MATH,21,Analyt Geo/Calc II,MTWR,8/13/2010,12/16/2010,3:15 PM,4:20 PM,5,Matheny,1530,25
80077,MATH,22,Analyt Geo/Calc III,MTWR,8/13/2010,12/16/2010,11:00 AM,11:50 AM,4,Mcarthur,1528,25
80078,MATH,23,Diff Equations,MTWR,8/13/2010,12/16/2010,12:00 PM,12:50 PM,4,Ness,1528,20
80079,MATH,30,Calc/Analytic Geom,MWF,8/13/2010,12/16/2010,9:00 AM,9:50 AM,3,Nixon,1521,25
80080,MATH,30,Calc/Analytic Geom,TR,8/13/2010,12/16/2010,6:00 PM,7:15 PM,3,Phipps,1528,25
80081,MATH,30,Calc/Analytic Geom,MWF,8/13/2010,12/16/2010,9:00 AM,9:50 AM,3,Robison,212,25
80082,MATH,31,Calc/Analytic Geom,MWF,8/13/2010,12/16/2010,1:00 PM,1:50 PM,3,Workman,1521,25
80083,MATH,40,Intro/Linear Algebr,MWF,8/13/2010,12/16/2010,8:00 AM,8:50 AM,3,Busch,1528,15
80084,MATH,40,Intro/Linear Algebr,TR,8/13/2010,12/16/2010,2:00 PM,3:15 PM,3,Creel,1527,15
80085,MATH,51,Trigonometry,TR,8/13/2010,12/16/2010,8:00 AM,9:15 AM,3,Hitchcock,1528,28
80086,MATH,51,Trigonometry,MWF,8/13/2010,12/16/2010,10:00 AM,10:50 AM,3,Kitchens,1528,28
80087,MATH,103,Geometry,MWF,8/13/2010,12/16/2010,10:00 AM,10:50 AM,3,Myrick,1521,25
80088,MATH,103,Geometry,TR,8/13/2010,12/16/2010,6:00 PM,7:15 PM,3,Patrick,1527,25
80090,MATH,104,Interm Algebra,MWF,8/13/2010,12/16/2010,8:00 AM,9:25 AM,5,Singer,1527,35
80091,MATH,104,Interm Algebra,TR,8/13/2010,12/16/2010,8:00 AM,10:15 AM,5,Aaron,1531,35
80092,AERO,55,Av Maint Tech Gen I,MT,8/13/2010,12/16/2010,11:20 AM,12:25 PM,10,Blackwell,108,24
80093,AERO,106,Powerplant Maint I,MTWR,8/13/2010,12/16/2010,8:00 AM,9:00 AM,10,Blunt,108,24
80094,MATH,104,Interm Algebra,MTWRF,8/13/2010,12/16/2010,9:00 AM,9:50 AM,5,Early,1526,35
80095,MATH,104,Interm Algebra,MWF,8/13/2010,12/16/2010,9:20 AM,10:45 AM,5,Gossett,1530,35
80096,AERO,150,FAA Special Projects-Airframe,TWR,8/13/2010,12/16/2010,1:00 PM,1:50 PM,1,Mazza,108,24
80097,MATH,104,Interm Algebra,TR,8/13/2010,12/16/2010,10:30 AM,12:45 PM,5,Mccue,1531,35
80098,MATH,104,Interm Algebra,MWF,8/13/2010,12/16/2010,12:20 PM,1:45 PM,5,Parris,1529,35
80099,AERO,151,Aero PP Spec Project,TWR,8/13/2010,12/16/2010,1:00 PM,1:50 PM,1,Sanches,108,24
80100,MATH,104,Interm Algebra,MWF,8/13/2010,12/16/2010,11:00 AM,12:25 PM,5,Seay,1531,35
80101,MATH,104,Interm Algebra,MW,8/13/2010,12/16/2010,1:00 PM,3:15 PM,5,Sparkman,803,35
80102,MATH,104,Interm Algebra,TR,8/13/2010,12/16/2010,2:00 PM,4:15 PM,5,Tolentino,1528,35
80103,MATH,104,Interm Algebra,MTWR,8/13/2010,12/16/2010,2:00 PM,3:05 PM,5,Weed,1530,35
80104,MATH,104,Interm Algebra,MW,8/13/2010,12/16/2010,3:30 PM,5:45 PM,5,Bland,1531,35
80105,MATH,104,Interm Algebra,MW,8/13/2010,12/16/2010,6:00 PM,8:15 PM,5,Bristol,1531,35
80106,MATH,104,Interm Algebra,TR,8/13/2010,12/16/2010,6:00 PM,8:15 PM,5,Carson,1531,35
80107,MATH,104,Interm Algebra,MWF,8/13/2010,12/16/2010,9:00 AM,10:25 AM,5,Chavarria,213,35
80108,MATH,104,Interm Algebra,TR,8/13/2010,12/16/2010,12:30 PM,2:45 PM,5,Conway,123,35
80109,MATH,104,Interm Algebra,T,8/13/2010,12/16/2010,6:00 PM,8:50 PM,5,Goldstein,123,35
80110,FIRE,50,Fire Protect Organ,TR,8/13/2010,12/16/2010,9:30 AM,10:45 AM,3,Haggard,1860,30
80111,FIRE,51,Fire Behav&Combust,TR,8/13/2010,12/16/2010,11:00 AM,12:15 PM,3,Infante,1860,30
80112,FIRE,50,Fire Protect Organ,T,8/13/2010,12/16/2010,6:00 PM,8:50 PM,3,Marroquin,102,30
